,precision,recall,f1-score,support
air_conditioner,0.88,0.77,0.8213333333333334,200.0
car_horn,0.7802197802197802,0.8255813953488372,0.8022598870056498,86.0
children_playing,0.5653846153846154,0.735,0.6391304347826087,200.0
dog_bark,0.8181818181818182,0.72,0.7659574468085106,200.0
drilling,0.8128654970760234,0.695,0.7493261455525606,200.0
engine_idling,0.8802395209580839,0.735,0.8010899182561307,200.0
gun_shot,0.6448598130841121,0.92,0.7582417582417582,75.0
jackhammer,0.7905759162303665,0.755,0.7723785166240409,200.0
siren,0.7954545454545454,0.9408602150537635,0.8620689655172413,186.0
street_music,0.6772486772486772,0.64,0.6580976863753213,200.0
accuracy,0.7584430452203778,0.7584430452203778,0.7584430452203778,0.7584430452203778
macro avg,0.7645030183838022,0.7736441610402601,0.7629884092497156,1747.0
weighted avg,0.7717900066117184,0.7584430452203778,0.7599713829898832,1747.0
